0
0 4 8
0 5 8
0 6 1
0 7 15
0 8 13
0 9 15
0 10 12
0 18 8
0 19 8
0 20 8
0 21 8
0 22 8
0 23 8
0 24 8
0 29 9
0 30 12
0 31 8
0 32 9
0 33 12
0 38 8
0 39 8
0 56 9
0 57 4
0 60 1
0 61 15
0 62 4
1 2 8
1 3 8
1 4 3
1 5 15
1 6 12
1 7 3
1 8 15
1 9 15
1 10 15
1 11 12
1 17 1
1 18 6
1 19 2
1 20 2
1 21 2
1 22 2
1 23 2
1 24 3
1 25 4
1 28 9
1 29 15
1 30 6
1 31 2
1 32 3
1 33 15
1 34 12
1 37 9
1 38 15
1 39 15
1 40 4
1 52 8
1 53 8
1 54 8
1 55 9
1 56 15
1 57 12
1 58 8
1 59 8
1 60 9
1 61 6
2 2 3
2 3 15
2 4 12
2 5 3
2 6 15
2 7 12
2 8 3
2 9 15
2 10 15
2 11 15
2 12 12
2 17 1
2 18 4
2 24 1
2 25 4
2 28 3
2 29 6
2 33 3
2 34 6
2 36 9
2 37 15
2 38 6
2 39 2
2 41 8
2 51 1
2 52 6
2 53 2
2 54 2
2 55 2
2 56 2
2 57 2
2 58 2
2 59 2
2 60 3
2 61 4
3 3 3
3 4 15
3 5 12
3 6 3
3 7 15
3 8 4
3 9 3
3 10 15
3 11 15
3 12 15
3 13 12
3 17 1
3 18 4
3 24 1
3 25 4
3 28 1
3 29 4
3 33 1
3 34 4
3 35 1
3 36 15
3 37 6
3 40 1
3 41 15
3 42 12
3 51 9
3 52 12
3 53 8
3 54 8
3 56 9
3 57 4
3 60 1
3 61 12
4 4 3
4 5 15
4 6 4
4 7 3
4 8 4
4 10 3
4 11 15
4 12 15
4 13 15
4 14 12
4 17 1
4 18 12
4 19 8
4 20 8
4 21 8
4 22 8
4 24 9
4 25 4
4 28 9
4 29 12
4 33 9
4 34 12
4 35 1
4 36 6
4 41 3
4 42 15
4 43 12
4 50 1
4 51 15
4 52 6
4 53 3
4 54 15
4 55 13
4 56 15
4 57 4
4 60 1
4 61 15
4 62 4
5 5 2
5 11 3
5 12 15
5 13 15
5 14 15
5 15 12
5 18 2
5 19 2
5 20 2
5 21 2
5 22 2
5 24 2
5 28 3
5 29 15
5 30 12
5 31 8
5 32 9
5 33 15
5 34 6
5 35 1
5 36 4
5 42 3
5 43 15
5 44 12
5 50 1
5 51 14
5 54 2
5 55 2
5 56 2
5 61 11
5 62 4
6 12 3
6 13 15
6 14 15
6 15 15
6 16 12
6 29 3
6 30 6
6 31 2
6 32 3
6 33 6
6 35 1
6 36 4
6 43 3
6 44 15
6 45 4
6 50 1
6 51 15
6 52 4
6 60 1
6 61 15
6 62 4
7 13 3
7 14 15
7 15 15
7 16 15
7 17 4
7 35 1
7 36 12
7 44 11
7 45 4
7 51 3
7 52 4
7 60 1
7 61 6
8 14 3
8 15 15
8 16 7
8 17 4
8 35 1
8 36 15
8 37 12
8 38 8
8 39 8
8 41 8
8 42 8
8 43 9
8 44 15
8 45 4
8 51 1
8 52 12
8 54 8
8 55 8
8 57 8
8 58 8
8 60 9
8 61 4
9 15 3
9 16 5
9 17 4
9 36 3
9 37 15
9 38 15
9 39 6
9 41 2
9 42 2
9 43 2
9 44 2
9 51 1
9 52 15
9 53 13
9 54 15
9 55 6
9 57 3
9 58 15
9 59 13
9 60 15
